"CellLine","BiosensorGroup","CellSeedingDensity","Mean_SpheroidCount","SD_SpheroidCount"
"CellLineX","NEG",63,2.83333333333333,2.71416039810964
"CellLineX","NEG",125,4,3.16227766016838
"CellLineX","NEG",250,3.83333333333333,1.72240142436851
"CellLineX","NEG",500,20.1666666666667,5.77638872191499
"CellLineX","NEG",1000,60.5,5.43139024560011
"CellLineX","POS",63,1.66666666666667,1.03279555898864
"CellLineX","POS",125,5.83333333333333,2.40138848724372
"CellLineX","POS",250,10.8333333333333,3.43025752191678
"CellLineX","POS",500,42.5,6.65582451691749
"CellLineX","POS",1000,83.8333333333333,11.9568669251885
