"Drug","SVI","Concentration_pM","log10_Concentration_pM","m_Slope","Interpolated_CSCindex","Replicate"
"B",0.55,170770357.061157,8.23241248648156,NA,NA,1
"B",0.55,170770357.061157,8.23241248648156,0,0.875974205,2
"B",0.55,170770357.061157,8.23241248648156,0,NA,3
"B",0.6,12893086.1533044,7.11035688468678,-9.72237822222222e-09,1.29039638407699,1
"B",0.6,12893086.1533044,7.11035688468678,-9.9359224e-09,1.24466562148425,2
"B",0.6,12893086.1533044,7.11035688468678,-1.08902515111111e-08,1.17936509007699,3
"B",0.65,1197163.5308556,6.07815347847436,-2.03283175555556e-08,1.44444122035662,1
"B",0.65,1197163.5308556,6.07815347847436,-1.92239935555556e-08,1.39619641677566,2
"B",0.65,1197163.5308556,6.07815347847436,-4.96879171111111e-08,1.46552812435661,3
"B",0.7,132583.150692391,5.12248833533365,-6.50534844444445e-07,1.69763084491059,1
"B",0.7,132583.150692391,5.12248833533365,-8.81025495555556e-07,1.7333022957367,2
"B",0.7,132583.150692391,5.12248833533365,1.1061544e-07,1.37620012091059,3
"B",0.75,17091.7053072484,4.23278539616603,1.367102894e-05,1.30146381288934,1
"B",0.75,17091.7053072484,4.23278539616603,1.65454645e-05,1.26157713540554,2
"B",0.75,17091.7053072484,4.23278539616603,9.5302577e-06,1.18707165088934,3
"B",0.8,2514.91784242834,3.40052380205086,1.367102894e-05,1.10218412960556,1
"B",0.8,2514.91784242834,3.40052380205086,1.65454645e-05,1.02039741588231,2
"B",0.8,2514.91784242834,3.40052380205086,9.5302577e-06,0.98779196760556,3
"B",0.85,415.656151122574,2.61873421182895,1.367102894e-05,1.07348506227109,1
"B",0.85,415.656151122574,2.61873421182895,1.65454645e-05,0.985664156092605,2
"B",0.85,415.656151122574,2.61873421182895,9.5302577e-06,0.959092900271086,3
"B",0.9,76.1469379707767,1.88165244412469,1.367102894e-05,1.06884362199269,1
"B",0.9,76.1469379707767,1.88165244412469,1.65454645e-05,0.980046818458979,2
"B",0.9,76.1469379707767,1.88165244412469,9.5302577e-06,0.954451459992691,3
"B",0.95,15.2898833775438,1.18440417287587,1.367102894e-05,1.06801164343814,1
"B",0.95,15.2898833775438,1.18440417287587,1.65454645e-05,0.979039910222632,2
"B",0.95,15.2898833775438,1.18440417287587,9.5302577e-06,0.953619481438144,3
"B",1,3.33393905562194,0.522957656665049,1.367102894e-05,1.06784819337731,1
"B",1,3.33393905562194,0.522957656665049,1.65454645e-05,0.97884209357029,2
"B",1,3.33393905562194,0.522957656665049,9.5302577e-06,0.953456031377314,3
